"Trait","BIC-3com","BIC-2com","BIC3<BIC2"
"CLL","-5110762.37163505","-5110554.35967873","TRUE"
"Esophageal","-5229052.35330424","-5229092.20322008","FALSE"
"Testicular","-5323805.46686441","-5323585.55508926","TRUE"
"Oropharyngeal","-5481955.68950034","-5481906.35577162","TRUE"
"Pancreas","-5129279.79423388","-5129175.25665763","TRUE"
"Renal","-6322905.6604616","-6322526.31795491","TRUE"
"Glioma","-6386396.76047021","-6385928.80605362","TRUE"
"Melanoma","-6485098.51510109","-6485114.94882888","FALSE"
"Colorectal","-6555521.03709095","-6555442.79897728","TRUE"
"Endometrial","-6830433.66863673","-6830263.37800554","TRUE"
"Ovarian","-7113595.4241279","-7113469.52165647","TRUE"
"Lung","-6931870.23638086","-6931355.75677418","TRUE"
"Prostate","-5912012.0580986","-5911720.02539462","TRUE"
"Breast","-8114475.72906116","-8113372.80387164","TRUE"
